,OBJECTID1,File_tag,Provider,DateOnly,Date,Date_1,Time_2,Latitude_3,Longitude_3,Address_of_incident_4,ID_of__nearest__asset_5,ID_of_nearest__polyphase__line_,Voltage_of_line_in_which__fire_,Network_categorisation_8,Type_of_primary_asset__involved,Phase_s__of__line_or__transform,Kind_of_fire_start_as_per_Claus,Location__area_12,Location_multiplier,Fire__danger__rating_13,Danger_multiplier,Product_of_multipliers,DNSP_record_number_14,OSIRIS___ESV__reference__number,Fault__description_16,Overhead_conductors,BUFF_DIST,FOR_CODE,FOR_TYPE,FOR_CAT,COVER,HEIGHT,FOREST,Elevation,STATION_ID,CODE,NAME,WeatherStation,Monthly Avg Rainfall,Monthly Mean Max Temperature,Monthly Mean Solar Exposure,Is_Fire
1595,1596,PowerCor 19/93,PowerCor,4/12/2019,12/4/19 0:00,43803.0,0.602777778,-35.941649,144.37706,Cnr of Hipwell Rd and Gunbower Island Rd  Gunbower,33018378.0,CHA005,22kV AC,Rural Long, - fuse (EDO fuse),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,,20191206PWA_01 ,CFA reported a fire under a pole last night at the incident location and CFA extinguished the fire. Crew replaced HV fuse and believed small grass fire was from some time ago (no CFA on site). On 5/12 following CFA advise crew re attended site and confirm,,7.62,0,Non forest,Non forest,6,6,0,85.86802673,94861,YECH,ECHUCA,,4.4,24.6,24.7,0
832,833,CitiPower 19/36,CitiPower,15/01/2020,1/15/20 0:00,43845.0,0.714583333,-37.84403,144.942994,"38 Rouse Street, Port Melbourne, VIC 3207",30203431.0,AP003,Low voltage AC (<1kV),Urban, - connection box,three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,,20200117PWA_02 ,"Customer reported fire/arching on pole at the above incident location. On arrival, crew noticed LV Crom Box was damaged and melted. There was no ground fire, no injuries or third party damage.",,7.62,0,Non forest,Non forest,6,6,0,2.001878977,94868,MELB,MELBOURNE,,129.4,26.9,21.8,0
1666,1667,PowerCor 19/151,PowerCor,5/01/2020,1/5/20 0:00,43835.0,0.679861111,-35.075079,142.318121,"11 RAILWAY TERRACE, OUYEN, VIC, 3490",32150815.0,OYN007,22kV AC,Rural Short, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,,20200108PWA_07 ,Report from Vic Fire that pole on fire at above address. When crew arrived they found that the cross arm had burnt through from the cross arm strap bolt. The outer phase of the HV had fallen onto the LV cross-arm.  Crew confirmed no HVI had occurred.  The,,7.62,0,Non forest,Non forest,6,6,0,51.61405945,94831,OUYE,OUYEN,,129.4,26.9,21.8,0
1713,1714,PowerCor 19/287,PowerCor,23/04/2020,4/23/20 0:00,43944.0,0.747916667,-34.292705,142.198732,121 Azolia Street Red Cliffs 3496,32152465.0,RCT023,Low voltage AC (<1kV),Rural Long, - pole (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,,20200424PWA_01 ,"Customer reported wooden x-arm on power pole has caught fire, wires do not look damaged yet, burning into pole. OK, customer will call Emergency Services. On arrival crew found pole fire was at king bolt of LV Xarm. Made safe, no ground fire, CFA attended",,7.62,0,Non forest,Non forest,6,6,0,63.20719528,94693,YMIA,MILDURA,,145.6,19.3,9.8,0
1088,1089,Ausnet 16/29,Ausnet ,27/08/2016,8/27/16 13:19,42609.55486,42609.55486,-37.86030701,148.079971,,1902844.0,NLA34,Low voltage AC (<1kV),RURAL SHORT, - connection box,three phase,Otherwise started by a distribution system,LBRA only,0.2,No forecast,0.1,0.02,223960.0,20160829SPN_02,"Per CFA Pole Fire. 3 phase mains pole box caught fire and melted on pole scorching the pole. Melting plastic fell to the ground, no fire started on the ground.",,7.62,0,Non forest,Non forest,6,6,0,34.72847366,95904,LKE,LAKES ENTRANCE,,69.4,15.9,10.1,0
1062,1063,Ausnet 18/35,Ausnet,28/08/2018,8/28/18 10:01,43340.41736,43340.41736,-37.80427599,147.49044,"85 WINDMILL LANE, LINDENOW VIC 3865",1608131.0,BDL44,Low voltage AC (<1kV),RURAL LONG, - connection box,single phase,Otherwise started by a distribution system,LBRA only,0.2,NO FORECAST,0.1,0.02,,20181109SPN_05,Crew attended site and found LV Krone box had melted and a small burnt area was evident at the base of the pole. Fire was out when crew arrived. Isolated supply and replaced Krone box.,,7.62,0,Non forest,Non forest,6,6,0,15.56914043,94912,YBNS,BAIRNSDALE AIRPORT,,49.4,15.1,10.1,1
622,623,United 16/56,United,20/12/2016,12/20/16 0:00,42724.0,0.401388889,-37.98794907,145.1990572,,634920.0,KBH31,22kV AC,Urban, - insulators,three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,5118.0,20161228UTD_03,Downer spotter confirmed pole fire at LIS#0634920 BENNET N40 VEREY S/S. Crew replaced pole and x-arms in area ,,7.62,0,Non forest,Non forest,6,6,0,20.1759491,94870,YMMB,MOORABBIN AWS,,47.7,25.5,24,1
335,336,United 19/25,United,8/08/2019,8/8/19 0:00,43685.0,0.092361111,-38.27485641,145.1596546,"LOT 16 GERARDS WAY, TYABB VIC 3913",1112692.0,HGS22,22kV AC,Rural Short, - transformer (pole mounted),three phase,"Started by any person, bird, reptile or other animal coming into contact with a distribution system",HBRA only,1.0,No forecast,0.1,0.1,1321638.0,20190821UTD_02,"5kVA single phase Tx requires replacement ASAP on 8/8/19, Birds nest on Bushings has caught fire, at some stage and burnt bushings/2 x LV bushings cracked and broken.  Fire report 6828. HV/LV isolated and burnt birds next removed. ", - overhead conductor (insulated),7.62,0,Non forest,Non forest,6,6,0,59.41036606,94898,CERB,CERBERUS AWS,,64.3,14.5,10,1
39,40,Ausnet 16/58,Ausnet ,9/12/2016,12/9/16 9:47,42713.40764,42713.40764,-38.51079499,145.334234,,2800945.0,WGI31,22kV AC,RURAL SHORT, - guy wire,single phase,Otherwise started by a distribution system,within area delineated on plan LEGL./16-354,4.6,Low-moderate,0.2,0.92,225705.0,20161216SPN_01,Corroded stay wire helical termination failed at ground level on HV anchor pole (with single phase transformer) and flicked into HV droppers of transformer becoming alive on ground where small fire occurred.,,7.62,0,Non forest,Non forest,6,6,0,8.107130051,94892,RHYL,RHYLL AWS,,47.7,25.5,24,0
1101,1102,PowerCor 19/198,PowerCor,18/01/2020,1/18/20 0:00,43848.0,0.603472222,-37.56442,143.763977,"413 Ballarat -Carngham Road, Bunkers Hill",33007578.0,BAS011,Low voltage AC (<1kV),Rural Long, - connection box,three phase,Started in or originated from a distribution system,within area delineated on plan LEGL./16-354,4.6,High,0.5,2.3,,20200121PWA_02,"Vic Fire reported a grass fire at the incident location, evidently started by Powercor assets. On arrival crew found that a porcelain fuse box had overheated igniting grass below. There was no reported injuries or third party property damage.",,7.62,0,Non forest,Non forest,6,6,0,418.0548706,94852,YBLT,BALLARAT,,129.4,26.9,21.8,0
1543,1544,PowerCor 19/256,PowerCor,4/03/2020,3/4/20 0:00,43894.0,0.564583333,-36.128179,144.762019,"133 GOULBURN ROAD, ECHUCA VIC 3564",30123584.0,ECA003,22kV AC,Rural Short, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,Low-moderate,0.2,0.04,,20200520PWA_06 ,Powercor crew responding to a report of a pole fire found  cross-arm had burnt,,7.62,0,Non forest,Non forest,6,6,0,95.78699493,94861,YECH,ECHUCA,,78.2,22.9,14.4,0
1702,1703,PowerCor 19/43,PowerCor,16/09/2019,9/16/19 0:00,43724.0,0.606944444,-34.238392,142.19669,"206 Ginquam Ave, Irymple VIC 3498, Australia",30097798.0,RCT021,22kV AC,Rural Short, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,,20190918PWA_01 ,"Report received from Vic Fire of a crossarm fire at incident location. There was no damage to the pole, the crossarm was burnt in half and HV conductors have fallen into LV below. There was suspected HVI effecting possibly 12 premises.
There was no ground",,7.62,0,Non forest,Non forest,6,6,0,57.9223671,94693,YMIA,MILDURA,,51.4,17.8,14.5,0
1501,1502,PowerCor 19/162,PowerCor,5/01/2020,1/5/20 0:00,43835.0,0.854166667,-36.403609,145.397979,"6 Murray St, Shepparton VIC 3630",32189142.0,MNA024,22kV AC,Rural Short, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,,20200110PWA_03 ,"Vic Fire reported cross-arm burning through. On arrival, crew found cross arm burning at fuse holder bolt on HV cross-arm. Assets were still secure to cross arm. No injuries, no ground fire, no third party damage.",,7.62,0,Non forest,Non forest,6,6,0,112.9952011,94875,YSHT,SHEPPARTON AWS,,129.4,26.9,21.8,1
27,28,Powercor 16/183,Powercor,10/04/2017,4/10/17 0:00,42835.0,0.28125,-38.538977,143.97409,,30064045.0,CLC005,22kV AC,Rural Short, - overhead conductor (bare; all aluminium conductor),three phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",LBRA only,0.2,Low-moderate,0.2,0.04,12997.0,20170412PWA_02,"The Crew were dispatched to investigate a wires down and possible HVI incident in Grove Rd, Lorne. Attending crew found that a tree had fallen onto a span of 3-7/2.5 AAC HV conductor between Pole 488 (LIS-30400) and Pole 1 (LIS-29595). The HV then hit the",,7.62,0,Non forest,Non forest,6,6,0,20.15497589,94846,AIRE,AIREYS INLET AWS,,142.7,20.8,10.8,0
1468,1469,PowerCor 19/59,PowerCor,1/11/2019,11/1/19 0:00,43770.0,0.584722222,-36.326666,143.468458,"Calder Hwy, Woosang 3518 (near Edwards Rd) (13km South of Charlton)",30229277.0,BETS-CTN,66kV AC,Rural Long, - overhead conductor (bare; aluminium core steel reinforced),three phase,Started in or originated from a distribution system,within area delineated on plan LEGL./16-354,4.6,Severe,2.0,9.2,,20191104PWA_06 ,Crew were investigating an outage on BETS-CTN 66kV line and found a broken conductor and ground fire.,,7.62,0,Non forest,Non forest,6,6,0,146.0328674,95842,YDOD,DONALD,,60.8,21.8,20.4,1
97,98,PowerCor 19/202,PowerCor,20/01/2020,1/20/20 0:00,43850.0,0.0,-38.385918,142.491587,"74 Barkly St, Warrnambool 3280",30544142.0,WBL008,22kV AC,Urban, - pole (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,Low-moderate,0.2,0.04,,20200122PWA_03 ,"A customer reported to the fire brigade that a pole fire had occurred at the incident location. On arrival the crew found that following misty rain, the pole had burnt through at the eye bolt for the centre phase HV discs. There was no ground fire, and th",,7.62,0,Non forest,Non forest,6,6,0,3.659487963,94832,90172,WARRNAMBOOL AP,,129.4,26.9,21.8,0
639,640,Ausnet 19/70,Ausnet,1/12/2019,12/1/19 22:24,43800.93333,43800.93333,-37.92217401,145.475614,"3 UPPER GRIEVE ROAD, AVONSLEIGH VIC 3782",420243.0,BGE22,22kV AC,RURAL SHORT, - fuse (EDO fuse),three phase,Otherwise started by a distribution system,LBRA only,0.2,LOW-MODERATE,0.2,0.04,,20200107SPN_11,Candled fuse (fuse failure),,7.62,0,Non forest,Non forest,6,6,0,278.5588074,94872,DUNN,DUNNS HILL AWS,,4.4,24.6,24.7,0
1100,1101,Powercor 16/131,Powercor,28/01/2017,1/28/17 0:00,42763.0,0.607638889,-37.67454,143.5252,,33005605.0,BAS021,22kV AC,Rural Long, - fuse (EDO fuse),three phase,Started in or originated from a distribution system,within area delineated on plan LEGL./16-354,4.6,High,0.5,2.3,12767.0,20170130PWA_05,"VicFire reported a fire at the incident location.  On arrival the crew found that an EDO fuse had operated, however the barrel of the EDO fuse stayed in position without dropping down.  The barrel then caught fire resulting in a ground fire (approx. 50 sq",,7.62,0,Non forest,Non forest,6,6,0,440.3735046,94852,YBLT,BALLARAT,,33.2,26.5,23.4,0
1089,1090,Ausnet 16/118,Ausnet ,17/05/2017,5/17/17 19:05,42872.79514,42872.79514,-37.87654685,148.0050555,,1902475.0,BDL41,Low voltage AC (<1kV),RURAL LONG, - lamps (major road),single phase,Otherwise started by a distribution system,LBRA only,0.2,No forecast,0.1,0.02,228117.0,20170601SPN_01,Street light lantern caught fire. Internal fault in street light lantern.,,7.62,0,Non forest,Non forest,6,6,0,0.200000003,95904,LKE,LAKES ENTRANCE,,29.6,17.2,8.3,0
158,159,United 17/59,United,27/01/2018,1/27/18 0:00,43127.0,0.672453704,-38.3677738,144.8929704,221 EASTBOURNE ROAD ROSEBUD,1309970.0,RBD24,22kV AC,Urban, - surge diverter,three phase,"Started by any person, bird, reptile or other animal coming into contact with a distribution system",LBRA only,0.2,High,0.5,0.1,5412.0,20180129UTD_03,"Refer TE1141571, Crow at RDB24 fdr exit CHP RB0184 caused a small grass fire. Fire report#01687",,7.62,0,Non forest,Non forest,6,6,0,9.544910431,94898,CERB,CERBERUS AWS,,73.6,27.2,23.9,0
1515,1516,Ausnet 18/93,Ausnet,30/01/2019,1/30/19 15:52,43495.66111,43495.66111,-36.3340357,145.9632788,"2346 BENALLA-YARRAWONGA ROAD, DEVENISH VIC 3726",3903372.0,BN2,12.7kV AC (SWER),RURAL LONG, - overhead conductor (bare; steel),single wire earth return (SWER),Started by lightning striking a distribution system or a part of a distribution system ,within area delineated on plan LEGL./16-354,4.6,HIGH,0.5,2.3,,20190204SPN_05,Lightning brought down HV wires which resulted in multiple fire starts on the ground,,7.62,0,Non forest,Non forest,6,6,0,169.5516052,94884,YBLA,BENALLA,,12.6,28.4,25.6,1
1044,1045,Ausnet 19/157,Ausnet,8/04/2020,4/8/20 21:05,43929.87847,43929.87847,-37.82737599,145.598645,"650 GEMBROOK-LAUNCHING PLACE ROAD, HODDLES CREEK VIC 3139",1405343.0,WYK23,22kV AC,RURAL SHORT, - fuse (boric acid),three phase,Otherwise started by a distribution system,within area delineated on plan LEGL./16-354,4.6,LOW-MODERATE,0.2,0.92,,20200409SPN_01,CANDLING FUSE,,7.62,0,Non forest,Non forest,6,6,0,219.6334686,94864,YCEM,COLDSTREAM AWS,,145.6,19.3,9.8,0
572,573,United 19/94,United,18/02/2020,2/18/20 0:00,43879.0,0.362037037,-38.01753986,145.2214236,"13 LANYON STREET, DANDENONG SOUTH VIC 3175",600027.0,DSH31,Low voltage AC (<1kV),Urban, - connector / termination,single phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,1381166.0,20200331UTD_01,"Customer stated a small fire had begun at his POA - Fire out on arrival but replaced the  white ph active connection on service, burnt out -  LIS 0600027",66kV AC,7.62,0,Non forest,Non forest,6,6,0,14.0,94870,YMMB,MOORABBIN AWS,,75.8,24.4,17.9,0
1080,1081,Ausnet 19/180,Ausnet,28/06/2020,6/28/20 17:20,44010.72222,44010.72222,-37.860394,148.036239,"5 CHANDLERS ROAD, LAKE BUNGA VIC 3909",1902798.0,NLA34,Low voltage AC (<1kV),RURAL SHORT, - connection box,single phase,Otherwise started by a distribution system,HBRA only,1.0,NO FORECAST,0.1,0.1,,20200629SPN_07,FOLCB caught fire due to Connections in box becoming overheated melting the plastic around the terminals then catching fire. The connections in the fuse box became overheated due to corroded connections and more load on terminals due to cold day and custo,,7.62,0,Non forest,Non forest,6,6,0,51.2856636,95904,LKE,LAKES ENTRANCE,,30.8,14.9,7.6,0
1494,1495,Powercor 18/274,Powercor,4/03/2019,4/03/2019,,,-36.32257029,145.1639038,"Ground water Pump site, Davies Rd, Lancaster",,KYM003,Low voltage AC (<1kV),Rural Long, - connection box,three phase,Started by lightning striking a distribution system or a part of a distribution system ,LBRA only,0.2,Low-moderate,0.2,0.04,,20190606PWA_10 ,"Following a report of the HV fuse down at the incident location, crews attended and found that lightning had struck the HV OH conductors mid-span.
Insulation  was burnt from a section of  LV transformer leads adjacent to the FOLCB . 
A birds nest inside t",,7.62,0,Non forest,Non forest,6,6,0,104.4241028,95833,KYAB,KYABRAM,,14.6,24.8,15.9,0
173,174,United 18/25,United,10/08/2018,8/10/18 0:00,43322.0,0.76494213,-38.45717003,144.9900876,"2150 MORNINGTON-FLINDERS ROAD, FLINDERS VIC 3929",1314698.0,DMA23,22kV AC,Rural Short, - dropper / bridge,single phase,Started in or originated from a distribution system,HBRA only,1.0,No forecast,0.1,0.1,1207722.0,20180929UTD_01,LIS - 1314698. Its actually on MTN Flinders RD and Boyds. Its not at Frank Flinders. Damage high up on pole. Transformer needs to be replaced. 1single ph 50kva pole mount. feeding 2 customer - no fire on arrival - cct dropper blackened only. PM # 10006688,,7.62,0,Non forest,Non forest,6,6,0,99.51803589,94898,CERB,CERBERUS AWS,,49.4,15.1,10.1,0
1427,1428,PowerCor 19/57,PowerCor,1/11/2019,11/1/19 0:00,43770.0,0.504166667,-36.533146,145.058553,5 Waranga Drive Waranga Shores 3612,33089098.0,SHP014,22kV AC,Rural Long, - overhead conductor (bare; steel),three phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",HBRA only,1.0,Very high,1.0,1.0,,20191104PWA_04,"Customer reported wire down hanging from pole and down onto grass, has caused fire, Fire brigade has just arrived to put fire out, at incident location. Crew found a customers tree had damaged an O/H HV conductor, starting a 800m2 ground fire, no property",,7.62,0,Non forest,Non forest,6,6,0,130.0018005,95836,TISA,TATURA INSTITUTE,,60.8,21.8,20.4,0
577,578,Ausnet 19/26,Ausnet,10/07/2019,7/10/19 22:42,43656.94583,43656.94583,-38.04407967,145.3304089,"107 GOLF LINKS ROAD, BERWICK VIC 3806",2601658157.0,CLN14,22kV AC,RURAL SHORT, - switch (any other type),three phase,"Started by any person, bird, reptile or other animal coming into contact with a distribution system",LBRA only,0.2,NO FORECAST,0.1,0.02,,20190809SPN_05,Birds nest found on manual gas switch. Flashover has occurred and damaged the supply side bushings of the switch. Switch replaced and animal proofing to be installed.,,7.62,0,Non forest,Non forest,6,6,0,25.99472809,94879,CRAN,CRANBOURNE,,52.8,15,7.7,0
9,10,Ausnet 18/138,Ausnet,10/03/2019,3/10/19 4:30,43534.1875,43534.1875,-38.79874735,146.2204817,"195 PATERSON ROAD, YANAKIE VIC 3960",2027889.0,FTR22,22kV AC,RURAL SHORT, - overhead conductor (bare; steel),single phase,Otherwise started by a distribution system,HBRA only,1.0,HIGH,0.5,0.5,,20190312SPN_03,Conductor has detached from insulator at pole. 35-45km/h winds in the area. Conductor found hanging approx. 3m from ground height. Small vegetation in vicinity of conductor and scorch marks on vegetation and grass fire approx. 100mx2m long. CFA attended t,,7.62,0,Non forest,Non forest,6,6,0,20.96995354,94893,YWLP,WILSONS PROM,,14.6,24.8,15.9,0
899,900,United 16/60,United,4/01/2017,1/4/17 0:00,42739.0,0.925,-37.88732976,145.0003921,,2308669.0,EW 03,11kV AC,Urban, - dropper / bridge,three phase,"Started by any person, bird, reptile or other animal coming into contact with a distribution system",LBRA only,0.2,High,0.5,0.1,5161.0,20170206UTD_01,"Possum at CHP to Nepean-McMillan s/s possum damaged cable head, blew R Ph bridge at HV Tee off in Nepean Hwy cnr of Glendora Ave, Very small patch of grass (approx 3cm sq) had burn mark due to fallout from fuse bridge blowing. ",,7.62,0,Non forest,Non forest,6,6,0,12.98729801,94868,MELB,MELBOURNE,,33.2,26.5,23.4,0
666,667,Ausnet 16/115,Ausnet ,11/04/2017,4/11/17 13:40,42836.56944,42836.56944,-37.927899,145.950214,,2700395.0,WGL24,22kV AC,RURAL LONG, - fuse (EDO fuse),three phase,Otherwise started by a distribution system,HBRA only,1.0,Low-moderate,0.2,0.2,227473.0,20170420SPN_01,Candled/burnt EDO fuse tube. EDO fuse failed to operate correctly.,,7.62,0,Non forest,Non forest,6,6,0,411.9850769,94880,NJE,NOOJEE,,142.7,20.8,10.8,0
1195,1196,Jamena 17/21,Jamena,27/07/2017,7/27/17 0:00,42943.0,0.770833333,-37.650006,144.961637,"UNIT 7, 177-181 NORTHBOURNE ROAD, CAMPBELLFIELD VIC 3061",,ST34,Low voltage DC (<1.5kV),Urban, - transformer (ground outdoor mounted),three phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,151940.0,20170728JEM_01,High resistance connection caused overheating and resulted in the area around the transformer LV bushing to ignite,,7.62,0,Non forest,Non forest,6,6,0,143.8857269,94867,TRNX,BMTC ANNEXE,,35.6,14.5,7.9,1
883,884,United 17/77,United,28/02/2018,2/28/18 0:00,43159.0,0.700613426,-37.88587848,145.1375281,464 WAVERLEY ROAD MOUNT WAVERLEY,602741.0,GW 03,Low voltage AC (<1kV),Urban, - overhead service conductor (residential),three phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",LBRA only,0.2,Very high,1.0,0.2,5451.0,20180301UTD_05,"Private tree loc at 462 Waverley came down, pulled service down, active/neutral sitting on tree cause branch to catch on fire, grass fire only in nature strip area, lis 602741.  I",,7.62,0,Non forest,Non forest,6,6,0,88.15085602,94870,YMMB,MOORABBIN AWS,,1.2,27,20.8,0
900,901,United 16/77,United,4/03/2017,3/4/17 0:00,42798.0,0.648310185,-37.86194887,145.1368484,,600806.0,EB 22,Low voltage AC (<1kV),Urban, - overhead service conductor (residential),three phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",LBRA only,0.2,High,0.5,0.1,5188.0,20170306UTD_01,"repl 2core service rubbed through by council tree, tree & service caught fire/MFB in attendance, fire out by time crew arrived, LIS 0600806,  fire ignition report #02821",,7.62,0,Non forest,Non forest,6,6,0,128.4901123,95867,SCOR,SCORESBY AWS,,29.2,26.9,16.8,0
640,641,Ausnet 19/74,Ausnet,16/12/2019,12/16/19 15:13,43815.63403,43815.63403,-38.08457498,145.493966,"60 BALD HILL ROAD, PAKENHAM VIC 3810",500411.0,PHM21,Low voltage AC (<1kV),URBAN, - connection box,three phase,Otherwise started by a distribution system,LBRA only,0.2,LOW-MODERATE,0.2,0.04,,20200107SPN_07,Poor connection (hot joint) resulting in LV fault and overheating of fuse unit.,,7.62,0,Non forest,Non forest,6,6,0,22.0,94879,CRAN,CRANBOURNE,,4.4,24.6,24.7,0
153,154,United 18/117,United,3/06/2019,6/3/19 0:00,43619.0,0.789502315,-38.36895392,144.7712022,"403 MELBOURNE ROAD, BLAIRGOWRIE VIC 3942",1316285.0,STO21,Low voltage AC (<1kV),Rural Short, - lamps (major road),single phase,Started in or originated from a distribution system,HBRA only,1.0,No forecast,0.1,0.1,1298656.0,20190702UTD_01,At LIS # 1316285 there was a melted street light. needs replacement. street light isolated at the mains. See new TO # 1298672,,7.62,0,Non forest,Non forest,6,6,0,7.05103302,94898,CERB,CERBERUS AWS,,57.5,15.5,7.2,0
58,59,Ausnet 17/24,Ausnet,2/08/2017,8/2/17 18:35,42949.77431,42949.77431,-38.476527,145.946517,"2 BAIR STREET, LEONGATHA VIC 3953",2003702.0,LGA22,Low voltage AC (<1kV),RURAL SHORT, - connection box,three phase,Otherwise started by a distribution system,LBRA only,0.2,NO FORECAST,0.1,0.02,229563.0,20170803SPN_02,There were no visible causes for krone box failing.  Probable high customer volts or/and poor connection.,,7.62,0,Non forest,Non forest,6,6,0,90.37631226,95854,ELLI,ELLINBANK,,0,14.8,10.1,0
6,7,Ausnet 19/115,Ausnet,27/01/2020,1/27/20 13:04,43857.54444,43857.54444,-38.83021798,146.131519,"31 ENNISVALE AVENUE, SANDY POINT VIC 3959",2021773.0,FTR21,Low voltage AC (<1kV),RURAL LONG, - connection box,two phase,Otherwise started by a distribution system,HBRA only,1.0,LOW-MODERATE,0.2,0.2,,20200128SPN_02,Plausible cause is a combination of corroded connection that resulted in an overheated onnection.,,7.62,0,Non forest,Non forest,6,6,0,9.999527931,94893,YWLP,WILSONS PROM,,129.4,26.9,21.8,0
723,724,PowerCor 19/244,PowerCor,19/02/2020,2/19/20 0:00,43880.0,0.599305556,-37.847127,144.80981,"69 Horsburgh Dr, Altona North VIC 3018. ",30271646.0,BLTS-AL,66kV AC,Rural Long, - crossarm (steel),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,,20200220PWA_02,"Grass fire was reported near base of pole, attending crew  found center phase 66kV insulator has broken off its mount. The  conductor  was  resting on the 66kV steel cross-arm and evidence of current passing through the wooden pole  to earthed 11kV  brack",,7.62,0,Non forest,Non forest,6,6,0,10.89873886,94865,YLVT,LAVERTON AWS,,75.8,24.4,17.9,0
618,619,United 16/35,United,11/10/2016,10/11/16 0:00,42654.0,0.687662037,-37.90945887,145.2344655,,8808792.0,FGY31,Low voltage AC (<1kV),Urban, - connection box,three phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,5040.0,20161014UTD_01,Replace 3ph FMB which had caught fire on Lis # 8808792.,,7.62,0,Non forest,Non forest,6,6,0,54.21695328,95867,SCOR,SCORESBY AWS,,70.2,19.3,17.5,0
803,804,United 19/114,United,9/05/2020,5/9/20 0:00,43960.0,0.765509259,-37.87144543,144.9961657,"19 THE AVENUE, BALACLAVA VIC 3183",2304444.0,BC11,Low voltage AC (<1kV),Urban, - connection box,three phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,1404071.0,20200514UTD_01,MFB reported a minor fire at the POA. Crew arrived and replaced the UE owned porcelain box which was believes to have ignited the small fire as well as the neutral service with black 2/c service. LIS 2304444,Large: more than 10 ha,7.62,0,Non forest,Non forest,6,6,0,8.895962715,94868,MELB,MELBOURNE,,82.8,16.4,8.3,1
224,225,Ausnet 17/130,Ausnet,17/03/2018,3/17/18 13:40,43176.56944,43176.56944,-38.461774,145.643854,"1415 LOCH-WONTHAGGI ROAD, GLEN ALVIE VIC 3979",2008155.0,LGA23,22kV AC,RURAL LONG, - fuse (EDO fuse),single phase,Otherwise started by a distribution system,HBRA only,1.0,SEVERE,2.0,2.0,232874.0,20180417SPN_01,Faulty substation transformer resulted in EDO fuse operation with one EDO fuse hung-up and candled.,,7.62,0,Non forest,Non forest,6,6,0,233.4846649,95881,YWON,WONTHAGGI,,24.6,24.9,16.6,0
16,17,PowerCor 19/213,PowerCor,25/01/2020,1/25/20 0:00,43855.0,0.661805556,-38.57136,142.902977,"Dairy -Dunbars Rd, Heytesbury Lower 3268 (approx 1km sth of Curdievale -Port Campbell Rd)",32056642.0,TRG005,Low voltage AC (<1kV),Rural Long, - connector / termination,single phase,Started in or originated from a distribution system,within area delineated on plan LEGL./16-354,4.6,Low-moderate,0.2,0.92,,20200207PWA_11 ,"Fire emergency services reported a pole & ground fire at incident address. On arrival crew found a 20 x 30 mtr grass fire. On examination of substation it was determined that fire was caused by a ""hot"" joint on the substation 'b' phase.
There was no repor",,7.62,0,Non forest,Non forest,6,6,0,36.49097443,94837,YWBL,WARRNAMBOOL AWS,,129.4,26.9,21.8,0
1318,1319,Ausnet 18/71,Ausnet,22/12/2018,12/22/18 18:04,43456.75316,43456.75316,-37.20937999,145.236835,"775 KING PARROT CREEK ROAD, STRATH CREEK VIC 3658",4704598.0,SMR14,22kV AC,RURAL LONG, - insulators,three phase,"Started by any person, bird, reptile or other animal coming into contact with a distribution system",within area delineated on plan LEGL./16-354,4.6,HIGH,0.5,2.3,,20190110SPN_03,Animal/bird - magpie caused grass fire,,7.62,0,Non forest,Non forest,6,6,0,185.5220032,94860,KMG,KILMORE GAP AWS,,117.3,25.7,22.1,0
870,871,CitiPower 18/24,CitiPower,11/07/2018,11/07/2018,,,-37.81112277,144.9676118,Cnr of 234 Russell St and Belman Pl Melbourne  3000,,WA035,Low voltage AC (<1kV),CBD, - connection box,three phase,Started in or originated from a distribution system,LBRA only,0.2,Low-moderate,0.2,0.04,,20181109PWA_01 ,"Multiple customers reported power outages on Belman Pl.
On arrival it was found that a service box on a building wall had caught fire.
There was no reported injuries or third party property damage.",,7.62,0,Non forest,Non forest,6,6,0,18.43476868,94868,MELB,MELBOURNE,,22,14.8,8,0
